Name, Rating, Mountain, trailzach,2.7,"Bolton Valley","Abenaki Trail"
zach,2.1,"Bolton Valley","Abenaki Trail"
josh,3,"Bolton Valley","Abenaki Trail"
Will,3,"Bolton Valley",Foxy
cavan,3.2,"Bolton Valley","Vista Glades"
zach,2.9,"Bolton Valley",Spur
assfuck,5,"Bolton Valley","Vermont 200"
felix,3,"Bolton Valley","Five Corners"
