Trail, Status, Difficulty
Chalet Meadow,false,Beginner
Deer Run,false,Beginner
Grammy Jay,false,Beginner
Harmony Lane,false,Beginner
Interstate,false,Beginner
Kangaroo Trail,false,Beginner
Lower Can Am,false,Beginner
Lower Ullr's Dream,false,Beginner
Perry Merril Ave,false,Beginner
Progression Terrain,false,Beginner
Queen's Highway,false,Beginner
Rabbit Trail,true,Beginner
Raccoon Run,false,Beginner
Subway,false,Beginner
The Boulevard,false,Beginner
Alligator Alley,false,Intermediate
Angel's Wiggle,false,Intermediate
Cat Walk,false,Intermediate
Heaven's Road,false,Intermediate
Hell's Crossing,false,Intermediate
Kokomo,false,Intermediate
Lower Exhibition,false,Intermediate
Lower Goat Run,false,Intermediate
Lower Milk Run,false,Intermediate
Lower River Quai,false,Intermediate
Lower U.N.,false,Intermediate
Micky,false,Intermediate
Middle Can Am,false,Intermediate
Middle Northway,false,Intermediate
Mont L'Entrepide,false,Intermediate
Montrealer,false,Intermediate
Paradise Meadows,false,Intermediate
Poma Line,false,Intermediate
Purgatory,false,Intermediate
Racer,false,Intermediate
St. George's Prayer,false,Intermediate
Sweetheart,false,Intermediate
Taxi,false,Intermediate
The Flash,false,Intermediate
The Jet Lower,false,Intermediate
The Willard,false,Intermediate
Ullr's Dream,false,Intermediate
Upper Northway,false,Intermediate
Vermonter,false,Intermediate
Wedelmaster,false,Intermediate
601,false,Advanced
Green Beret,false,Advanced
Green Mountain Boys,false,Advanced
Haynes,false,Advanced
Hotshot Derick,false,Advanced
JFK,false,Advanced
Kitzbuehel,false,Advanced
Lift Line,false,Advanced
Lower Northway,false,Advanced
Lower Northwest Passage,false,Advanced
Middle Northwest Passage,false,Advanced
Sis Boom Bah,false,Advanced
The Jet,false,Advanced
Upper Can Am,false,Advanced
Upper Exhibition,false,Advanced
Upper Goat Run,false,Advanced
Upper Milk Run,false,Advanced
Upper Northwest Passage,false,Advanced
Upper River Quai,false,Advanced
Upper U.N,false,Advanced
Andre's Paradise,false,Advanced Glade
Beaver Pond,false,Advanced Glade
Bonaventure Glade,false,Advanced Glade
Buck Woods,false,Advanced Glade
Buckaroo Bonzai,false,Advanced Glade
Canyon Land,false,Advanced Glade
Deliverance,false,Advanced Glade
Everglade,false,Advanced Glade
Expo Glade,false,Advanced Glade
Hell's Woods,false,Advanced Glade
Kitz Woods,false,Advanced Glade
North Glade,false,Advanced Glade
Show-Off Glade,false,Advanced Glade
Staircase,false,Advanced Glade
Stateside Glade,false,Advanced Glade
The Face Chutes,false,Advanced Glade
Timbuktu,false,Advanced Glade
Tuckerman's Chute,false,Advanced Glade
Valhalla,false,Advanced Glade
Vertigo,false,Advanced Glade
